126,"20210913",2,,0,,"SO",,,"SuM",,,"314",,,,,1048580,"06b",A,202109101135,"+"
127,"20210913",2,,0,,"BI",,,"SuM",,,"314",,,,,1048580,"06b",A,202109101135,
128,"20210913",2,,0,,"ER",,,"SuM",,,,,,,,1048580,"06c",A,202109101135,
129,"20210913",2,47,413,"ER",,"g1",,,,"506",,,"12",,,1,"12",C,202109081618,
131,"20210913",2,,0,,"NI",,,"SuM",,,,,,,,1048580,"06c",A,202109101135,
132,"20210913",2,48,1153,"NI",,"gk3",,,,"504",,,"11",,,1,"11",C,202109081618,
134,"20210913",2,,1002,"FR","FR","SuM",,"SuM",,,,,"06d",,,1048576,"06d",A,202109101135,
136,"20210913",2,,0,,"SD",,,"SuM",,,"303",,,,,1048580,"06e",A,202109101134,"+"
137,"20210913",2,,0,,"ZA",,,"SuM",,,"303",,,,,1048580,"06e",A,202109101134,
138,"20210913",2,,0,,"PE",,,"SuM",,,"309",,,,,1048580,"07a",A,202109101135,"+"
139,"20210913",2,,914,"MG","MG","E",,"SuM",,"309","309",,"07a",,,1048576,"07a",A,202109101135,
140,"20210913",2,,0,,"HO",,,"SuM",,,"310",,,,,1048580,"07b",A,202109101135,"+"
141,"20210913",2,,927,"BK","BK","Ph",,"SuM",,"PS1","310",,"07b",,,1048576,"07b",A,202109101135,
142,"20210913",2,,0,,"DM",,,"SuM",,,"311",,,,,1048580,"07c",A,202109101135,
143,"20210913",2,,0,,"MS",,,"SuM",,,"311",,,,,1048580,"07c",A,202109101134,
144,"20210913",2,,0,,"KT",,,"SuM",,,"312",,,,,1048580,"07d",A,202109101132,
145,"20210913",2,,0,,"RF",,,"SuM",,,"315",,,,,1048580,"07e",A,202109101132,"+"
146,"20210913",2,,0,,"BG",,,"SuM",,,"315",,,,,1048580,"07e",A,202109101132,"+"
147,"20210913",2,,0,,"MU",,,"SuM",,,,,,,,1048580,"08a",A,202109101132,
148,"20210913",2,,0,,"SE",,,"SuM",,,"106",,,,,1048580,"08b",A,202109101132,
149,"20210913",2,49,413,"SE",,"G1",,,,"505",,,"12",,,1,"12",C,202109081619,
151,"20210913",2,,0,,"CH",,,"SuM",,,"105",,,,,1048580,"08d",A,202109101133,"+"
152,"20210913",2,,0,,"FG",,,"SuM",,,"401",,,,,1048580,"09a",A,202109101133,"+"
153,"20210913",2,,0,,"LE",,,"SuM",,,"109",,,,,1048580,"09b",A,202109101132,"+"
154,"20210913",2,,0,,"WL",,,"SuM",,,"108",,,,,1048580,"09d",A,202109101132,"+"
155,"20210913",2,,0,,"KP",,,"SuM",,,"403",,,,,1048580,"10a",A,202109101132,"+"
156,"20210913",2,,0,,"EL",,,"SuM",,,"404",,,,,1048580,"10b",A,202109101132,
157,"20210913",2,50,1080,"EL",,"Geo",,,,"304",,,"05c",,,16,,L,202109081657,
163,"20210913",1,53,1153,"BF",,"gk1",,,,"501",,,"11",,,1048577,"11",C,202109101130,"-"
165,"20210913",1,54,1153,"KG",,"gk2",,,,"502",,,"11",,,1048577,"11",C,202109101130,"-"
167,"20210913",2,55,1153,"BF",,"gk1",,,,"501",,,"11",,,1048577,"11",C,202109101133,"-"
169,"20210913",2,56,1153,"KG",,"gk2",,,,"502",,,"11",,,1048577,"11",C,202109101133,"-"
171,"20210913",2,,0,,"SHZ",,,"rev1",,,"501",,,,"Tutorstd.",1048580,"11",A,202109101133,
172,"20210913",2,,0,,"BD",,,"eth1",,,"503",,,,"Tutorstd.",1048580,"11",A,202109101133,"+"
173,"20210913",2,,0,,"ST",,,"IN1",,,"IN1",,,,"Tutorstd.",1048580,"11",A,202109101133,"+"
174,"20210913",2,,0,,"HI",,,"rrk1",,,"502",,,,"Tutorstd.",1048580,"11",A,202109101133,"+"
175,"20210913",2,,0,,"KN",,,"Wi1",,,"504",,,,"Tutorstd.",1048580,"11",A,202109101133,
176,"20210913",2,,0,,"ZZ",,,"Wi2",,,"505",,,,"Tutorstd.",1048580,"11",A,202109101133,"+"
177,"20210913",1,,0,,"KL",,,"SuM",,,"MS1",,,,,1048580,"11",A,202109101132,
178,"20210913",1,,0,,"MS",,,"SuM",,,"MS1",,,,,1048580,"11",A,202109101132,
180,"20210913",1,,0,,"ZZ",,,"SuM",,,"405",,,,,1048580,"10c",A,202109101132,"+"
181,"20210913",2,,0,,"PT",,,"SuMR",,,"402",,,,,1048580,"09c",A,202109101133,
182,"20210913",2,75,413,"EB",,"g2",,"g2",,"402",,,"12","dienst",,1,"12",C,202109081656,
183,"20210913",2,58,1098,"BER",,"BK",,,,"KS1",,,"05a","dienst",,1048592,,L,202109101133,"-"
184,"20210913",3,60,1058,"AS",,"D",,,,"305",,,"05a","dienst",,16,,L,202109081654,
185,"20210913",4,60,1058,"AS",,"D",,,,"305",,,"05a","dienst",,16,,L,202109081654,
186,"20210913",5,60,1118,"AS",,"SuM",,,,"305",,,"05a","dienst",,16,,L,202109081654,
187,"20210913",5,59,1118,"TX",,"SuM",,,,"305",,,"05a","dienst",,16,,L,202109081654,
188,"20210914",1,60,1088,"AS",,"BNT",,,,"BS1","BS1",,"05a~05b~05c","dienst",,16,,L,202109081655,
189,"20210914",1,68,1088,"BL",,"BNT",,,,"BS1","BS1",,"05a~05b~05c","dienst",,16,,L,202109081655,
190,"20210914",1,66,1088,"EL",,"BNT",,,,"BS2",,,"05a~05b~05c","dienst",,16,,L,202109081655,"-"
191,"20210914",1,66,1088,"BI",,"BNT",,,,"PS1",,,"05a~05b~05c","dienst",,16,,L,202109081655,"-"
192,"20210914",2,60,1088,"AS",,"BNT",,,,"BS1","BS1",,"05a~05b~05c","dienst",,16,,L,202109081655,
193,"20210914",2,68,1088,"BL",,"BNT",,,,"BS1","BS1",,"05a~05b~05c","dienst",,16,,L,202109081655,
194,"20210914",2,66,1088,"EL",,"BNT",,,,"BS2",,,"05a~05b~05c","dienst",,16,,L,202109081655,"-"
195,"20210914",2,66,1088,"BI",,"BNT",,,,"PS1",,,"05a~05b~05c","dienst",,16,,L,202109081655,"-"
196,"20210914",3,59,1113,"TX",,"SK",,,,"SH1","SH1",,"05a","dienst",,16,,L,202109081654,
197,"20210914",4,59,1113,"TX",,"SK",,,,"SH1","SH1",,"05a","dienst",,16,,L,202109081654,
198,"20210914",5,59,1078,"TX",,"Geo",,,,"305",,,"05a","dienst",,16,,L,202109081654,
199,"20210914",6,58,1128,"UN",,"evR",,,,"107",,,"05a","dienst",,16,,L,202109081654,"-"
200,"20210914",6,100,1128,"LI",,"Eth",,,,"303","303",,"05a~05c~05b","krank",,16,,L,202109101128,
201,"20210914",7,58,1128,"UN",,"evR",,,,"107",,,"05a","dienst",,16,,L,202109081654,"-"
202,"20210914",7,100,1128,"LI",,"Eth",,,,"303","303",,"05a~05c~05b","krank",,16,,L,202109101128,
204,"20210913",3,59,657,"TX","BER","SpM",,"Aufs",,"SH1","404",,"10b~10d","dienst",,0,"10b~10d",,202109101115,
205,"20210913",4,59,657,"TX","BER","SpM",,"Aufs",,"SH1","404",,"10b~10d","dienst",,0,"10b~10d",,202109101103,
206,"20210914",1,59,663,"TX",,"WBS",,,,"403",,,"10a","dienst",,1,"10a",C,202109081654,
207,"20210914",2,59,594,"TX","EVE","Gk",,"Mus",,"406","MS3",,"10d","dienst",,128,"10d",F,202109101147,
208,"20210913",2,60,1091,"AS",,"BNT",,,,"BS1","BS1",,"05d~05e","dienst",,16,,L,202109081656,
209,"20210914",3,60,740,"AS","VOG","D",,"G",,"105","105",,"08d","dienst",,128,"08d",F,202109101147,
210,"20210914",4,60,740,"AS","VOG","D",,"G",,"105","105",,"08d","dienst",,128,"08d",F,202109101147,
211,"20210914",5,60,1140,"AS",,"d1",,,,"502",,,"11","dienst",,1,"11",C,202109081654,
212,"20210914",6,60,1140,"AS",,"d1",,,,"502",,,"11","dienst",,1,"11",C,202109081654,
213,"20210914",5,60,0,"AS",,,,,,,,,,"dienst",,131072,,B,202109081654,
214,"20210913",2,64,1059,"BE",,"D",,,,"301",,,"05b","dienst",,16,,L,202109081657,
215,"20210913",3,62,1099,"BER",,"BK",,,,"KS1",,,"05b","dienst",,16,,L,202109081655,
216,"20210913",4,62,1099,"BER",,"BK",,,,"KS1",,,"05b","dienst",,16,,L,202109081655,
217,"20210913",5,62,1114,"FR",,"SK",,,,"SH1",,,"05b","dienst",,16,,L,202109081655,"-"
218,"20210914",3,62,1079,"WD","WD","Geo",,"Geo",,"301",,,"05b","dienst",,65552,,L,202109081657,"-"
219,"20210914",4,62,1079,"WD","WD","Geo",,"Geo",,"301",,,"05b","dienst",,65552,,L,202109081657,"-"
220,"20210914",5,64,1059,"BE",,"D",,,,"301",,,"05b","dienst",,16,,L,202109081657,
221,"20210914",6,62,1128,"KC","KC","KR",,"KR",,"301",,,"05b","dienst",,65552,,L,202109081657,"-"
222,"20210914",7,62,1128,"KC","KC","KR",,"KR",,"301",,,"05b","dienst",,65552,,L,202109081657,"-"
269,"20210914",2,63,1192,"BX",,"Ber",,,,,,,,"dienst",,1,,,202109101146,
270,"20210914",3,63,959,"BX","WD","F",,"BK",,"303","KS2",,"06e","dienst",,128,"06e",F,202109101157,
271,"20210914",4,63,959,"BX","WD","F",,"BK",,"303","KS2",,"06e","dienst",,128,"06e",F,202109101158,
272,"20210914",5,63,916,"BX","KG","F",,"Aufs",,"309","309",,"07a","dienst",,0,"07a",,202109101220,"+"
284,"20210913",3,64,403,"BE",,"E2",,,,"504",,,"12","dienst",,1,"12",C,202109081655,
285,"20210913",4,64,403,"BE",,"E2",,,,"504",,,"12","dienst",,1,"12",C,202109081655,
286,"20210914",2,64,1237,"BE",,"Ber",,,,,,,,"dienst",,1,,,202109101146,
287,"20210914",3,64,411,"BE",,"E2",,,,"405",,,"12","dienst",,1,"12",C,202109081655,
288,"20210914",4,64,411,"BE",,"E2",,,,"405",,,"12","dienst",,1,"12",C,202109081655,
289,"20210914",7,64,1176,"BE",,"LRS",,,,"302",,,"06c~06b~06a~06d~06e","dienst",,1,"06c~06b~06a~06d~06e",C,202109081655,
326,"20210913",3,66,1065,"LA","LA","E",,"E",,"304",,,"05c","dienst",,65552,,L,202109081657,"-"
327,"20210913",4,66,1065,"LA","LA","E",,"E",,"304",,,"05c","dienst",,65552,,L,202109081657,"-"
328,"20210913",5,66,1115,"BG",,"SK",,,,"SH2",,,"05c","dienst",,16,,L,202109081655,"-"
329,"20210914",3,67,1070,"KL",,"M",,,,"304",,,"05c","dienst",,16,,L,202109081657,
330,"20210914",4,67,1070,"KL",,"M",,,,"304",,,"05c","dienst",,16,,L,202109081657,
331,"20210914",5,68,1095,"BL",,"B",,,,"BS1","BS1",,"05c","dienst",,16,,L,202109081655,
332,"20210914",6,66,1128,"WL","WL","evR",,"evR",,"304",,,"05c","dienst",,65552,,L,202109081657,"-"
333,"20210914",7,66,1128,"WL","WL","evR",,"evR",,"304",,,"05c","dienst",,65552,,L,202109081657,"-"
335,"20210913",3,67,1206,"KL",,"Ber",,,,,,,,"dienst",,1,,,202109101050,
336,"20210913",5,67,743,"KL","SE","NwT",,"Aufs",,"NW","MS3",,"08d","dienst",,0,"08d",,202109101137,"+"
337,"20210914",1,67,668,"KL",,"M",,,,"108",,,"09d","dienst",,1,"09d",C,202109081655,
338,"20210914",2,67,668,"KL",,"M",,,,"108",,,"09d","dienst",,1,"09d",C,202109101147,
